GRAND PRIX,DRIVER,CAR,TIME
Argentina,Jackie Stewart,Tyrrell Ford,1:13.660
South Africa,Mike Hailwood,Surtees Ford,1:18.900
Spain,Jacky Ickx,Ferrari,1:21.010
Monaco,Jean-Pierre Beltoise,BRM,1:40.000
Belgium,Chris Amon,Matra,1:12.120
France,Chris Amon,Matra,2:53.900
Great Britain,Jackie Stewart,Tyrrell Ford,1:24.000
Germany,Jacky Ickx,Ferrari,7:13.600
Austria,Denny Hulme,McLaren Ford,1:38.320
Italy,Jacky Ickx,Ferrari,1:36.300
Canada,Jackie Stewart,Tyrrell Ford,1:15.700
United States,Jackie Stewart,Tyrrell Ford,1:41.644
