GRAND PRIX,DRIVER,CAR,TIME
Austria,Lando Norris,McLaren Renault,1:07.475
Styria,Carlos Sainz,McLaren Renault,1:05.619
Hungary,Lewis Hamilton,Mercedes,1:16.627
Great Britain,Max Verstappen,Red Bull Racing Honda,1:27.097
70th Anniversary,Lewis Hamilton,Mercedes,1:28.451
Spain,Valtteri Bottas,Mercedes,1:18.183
Belgium,Daniel Ricciardo,Renault,1:47.483
Italy,Lewis Hamilton,Mercedes,1:22.746
Tuscany,Lewis Hamilton,Mercedes,1:18.833
Russia,Valtteri Bottas,Mercedes,1:37.030
Eifel,Max Verstappen,Red Bull Racing Honda,1:28.139
Portugal,Lewis Hamilton,Mercedes,1:18.750
Emilia Romagna,Lewis Hamilton,Mercedes,1:15.484
Turkey,Lando Norris,McLaren Renault,1:36.806
Bahrain,Max Verstappen,Red Bull Racing Honda,1:32.014
Sakhir,George Russell,Mercedes,55.404
Abu Dhabi,Daniel Ricciardo,Renault,1:40.926
