GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Netherlands,20 May 1962,Ferrari,DNF,0
Belgium,17 Jun 1962,Ferrari,4,3
Germany,05 Aug 1962,Ferrari,6,1
Italy,16 Sep 1962,Ferrari,DNF,0
