POS,DRIVER,NATIONALITY,CAR,PTS
1,Graham Hill,GBR,BRM,42
2,Jim Clark,GBR,Lotus Climax,30
3,Bruce McLaren,NZL,Cooper Climax,27
4,John Surtees,GBR,Lola Climax,19
5,Dan Gurney,USA,Porsche,15
6,Phil Hill,USA,Ferrari,14
7,Tony Maggs,RSA,Cooper Climax,13
8,Richie Ginther,USA,BRM,10
9,Jack Brabham,AUS,Brabham Climax,9
10,Trevor Taylor,GBR,Lotus Climax,6
11,Giancarlo Baghetti,ITA,Ferrari,5
12,Lorenzo Bandini,ITA,Ferrari,4
12,Ricardo Rodriguez,MEX,Ferrari,4
14,Willy Mairesse,BEL,Ferrari,3
14,Jo Bonnier,SWE,Porsche,3
16,Innes Ireland,GBR,Lotus Climax,2
16,Carel Godin de Beaufort,NED,Porsche,2
18,Masten Gregory,USA,Lotus BRM,1
18,Neville Lederle,RSA,Lotus Climax,1
