GRAND PRIX,DRIVER,CAR,TIME
South Africa,Jackie Stewart,Matra Ford,1:21.600
Spain,Jochen Rindt,Lotus Ford,1:28.300
Monaco,Jackie Stewart,Matra Ford,1:25.100
Netherlands,Jackie Stewart,Matra Ford,1:22.940
France,Jackie Stewart,Matra Ford,3:02.700
Great Britain,Jackie Stewart,Matra Ford,1:21.300
Germany,Jacky Ickx,Brabham Climax,7:43.800
Italy,Jean-Pierre Beltoise,Matra Ford,1:25.200
Canada,Jacky Ickx,Brabham Climax,1:18.100
United States,Jochen Rindt,Lotus Ford,1:04.340
Mexico,Jacky Ickx,Brabham Climax,1:43.050
