GRAND PRIX,DRIVER,CAR,TIME
Argentina,Juan Manuel Fangio,Ferrari,1:45.300
Monaco,Juan Manuel Fangio,Ferrari,1:44.400
Indianapolis 500,Paul Russo,Kurtis Kraft Novi,1:02.320
Belgium,Stirling Moss,Maserati,4:14.700
France,Juan Manuel Fangio,Ferrari,2:25.800
Great Britain,Stirling Moss,Maserati,1:43.200
Germany,Juan Manuel Fangio,Ferrari,9:41.600
Italy,Stirling Moss,Maserati,2:45.500
