GRAND PRIX,DRIVER,CAR,TIME
Argentina,Gilles Villeneuve,Ferrari,1:49.760
Brazil,Carlos Reutemann,Ferrari,1:43.070
South Africa,Mario Andretti,Lotus Ford,1:17.090
USA West,Alan Jones,Williams Ford,1:22.215
Monaco,Niki Lauda,Brabham Alfa Romeo,1:28.650
Belgium,Ronnie Peterson,Lotus Ford,1:23.130
Spain,Mario Andretti,Lotus Ford,1:20.060
Sweden,Niki Lauda,Brabham Alfa Romeo,1:24.836
France,Carlos Reutemann,Ferrari,1:48.560
Great Britain,Niki Lauda,Brabham Alfa Romeo,1:18.600
Germany,Ronnie Peterson,Lotus Ford,1:55.620
Austria,Ronnie Peterson,Lotus Ford,1:43.120
Netherlands,Niki Lauda,Brabham Alfa Romeo,1:19.570
Italy,Mario Andretti,Lotus Ford,1:38.230
USA East,Jean-Pierre Jarier,Lotus Ford,1:39.557
Canada,Alan Jones,Williams Ford,1:38.072
