POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Jackie Stewart,Tyrrell Ford,14,1:42:03.000,9
2,6,Francois Cevert,Tyrrell Ford,14,+1.600s,6
3,30,Jacky Ickx,McLaren Ford,14,+41.200s,4
4,24,Carlos Pace,Surtees Ford,14,+53.800s,3
5,11,Wilson Fittipaldi,Brabham Ford,14,+79.900s,2
6,1,Emerson Fittipaldi,Lotus Ford,14,+84.300s,1
7,31,Jochen Mass,Surtees Ford,14,+85.200s,0
8,17,Jackie Oliver,Shadow Ford,14,+85.700s,0
9,8,Peter Revson,McLaren Ford,14,+131.800s,0
10,26,Henri Pescarolo,Iso Marlboro Ford,14,+142.500s,0
11,9,Rolf Stommelen,Brabham Ford,14,+207.300s,0
12,7,Denny Hulme,McLaren Ford,14,+218.700s,0
13,12,Graham Hill,Shadow Ford,14,+229.000s,0
14,23,Mike Hailwood,Surtees Ford,13,+1 lap,0
15,18,David Purley,March Ford,13,+1 lap,0
16,15,Mike Beuttler,March Ford,13,+1 lap,0
NC,10,Carlos Reutemann,Brabham Ford,7,DNF,0
NC,19,Clay Regazzoni,BRM,7,DNF,0
NC,16,George Follmer,Shadow Ford,5,DNF,0
NC,20,Jean-Pierre Beltoise,BRM,4,DNF,0
NC,21,Niki Lauda,BRM,1,DNF,0
NC,2,Ronnie Peterson,Lotus Ford,0,DNF,0
