POS,DRIVER,NATIONALITY,CAR,PTS
1,Jim Clark,GBR,Lotus Climax,54
2,Graham Hill,GBR,BRM,40
3,Jackie Stewart,GBR,BRM,33
4,Dan Gurney,USA,Brabham Climax,25
5,John Surtees,GBR,Ferrari,17
6,Lorenzo Bandini,ITA,Ferrari,13
7,Richie Ginther,USA,Honda,11
8,Mike Spence,GBR,Lotus Climax,10
8,Bruce McLaren,NZL,Cooper Climax,10
10,Jack Brabham,AUS,Brabham Climax,9
11,Denny Hulme,NZL,Brabham Climax,5
11,Jo Siffert,SUI,Brabham BRM,5
13,Jochen Rindt,AUT,Cooper Climax,4
14,Pedro Rodriguez,MEX,Ferrari,2
14,Ronnie Bucknum,USA,Honda,2
14,Richard Attwood,GBR,Lotus BRM,2
