GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,03 Apr 1988,McLaren Honda,DNF,0
San Marino,01 May 1988,McLaren Honda,1,9
Monaco,15 May 1988,McLaren Honda,DNF,0
Mexico,29 May 1988,McLaren Honda,2,6
Canada,12 Jun 1988,McLaren Honda,1,9
Detroit,19 Jun 1988,McLaren Honda,1,9
France,03 Jul 1988,McLaren Honda,2,6
Great Britain,10 Jul 1988,McLaren Honda,1,9
Germany,24 Jul 1988,McLaren Honda,1,9
Hungary,07 Aug 1988,McLaren Honda,1,9
Belgium,28 Aug 1988,McLaren Honda,1,9
Italy,11 Sep 1988,McLaren Honda,DNF,0
Portugal,25 Sep 1988,McLaren Honda,6,1
Spain,02 Oct 1988,McLaren Honda,4,3
Japan,30 Oct 1988,McLaren Honda,1,9
Australia,13 Nov 1988,McLaren Honda,2,6
