GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,03 Apr 1988,March Judd,DNF,0
San Marino,01 May 1988,March Judd,DNF,0
Monaco,15 May 1988,March Judd,10,0
Mexico,29 May 1988,March Judd,16,0
Canada,12 Jun 1988,March Judd,5,2
France,03 Jul 1988,March Judd,9,0
Great Britain,10 Jul 1988,March Judd,DNF,0
Germany,24 Jul 1988,March Judd,5,2
Hungary,07 Aug 1988,March Judd,DNF,0
Belgium,28 Aug 1988,March Judd,3,4
Italy,11 Sep 1988,March Judd,5,2
Portugal,25 Sep 1988,March Judd,2,6
Spain,02 Oct 1988,March Judd,DNF,0
Japan,30 Oct 1988,March Judd,DNF,0
Australia,13 Nov 1988,March Judd,6,1
