POS,DRIVER,NATIONALITY,CAR,PTS
1,Ayrton Senna,BRA,McLaren Honda,90
2,Alain Prost,FRA,McLaren Honda,87
3,Gerhard Berger,AUT,Ferrari,41
4,Thierry Boutsen,BEL,Benetton Ford,27
5,Michele Alboreto,ITA,Ferrari,24
6,Nelson Piquet,BRA,Lotus Honda,22
7,Ivan Capelli,ITA,March Judd,17
8,Derek Warwick,GBR,Arrows Megatron,17
9,Nigel Mansell,GBR,Williams Judd,12
10,Alessandro Nannini,ITA,Benetton Ford,12
11,Riccardo Patrese,ITA,Williams Judd,8
12,Eddie Cheever,USA,Arrows Megatron,6
13,Mauricio Gugelmin,BRA,March Judd,5
14,Jonathan Palmer,GBR,Tyrrell Ford,5
15,Andrea de Cesaris,ITA,Rial Ford,3
16,Pierluigi Martini,ITA,Minardi Ford,1
17,Satoru Nakajima,JPN,Lotus Honda,1
