GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,13 Jan 1980,Arrows Ford,DNF,0
Brazil,27 Jan 1980,Arrows Ford,10,0
South Africa,01 Mar 1980,Arrows Ford,6,1
USA West,30 Mar 1980,Arrows Ford,7,0
Belgium,04 May 1980,Arrows Ford,DNF,0
Monaco,18 May 1980,Arrows Ford,4,3
France,29 Jun 1980,Arrows Ford,10,0
Great Britain,13 Jul 1980,Arrows Ford,13,0
Germany,10 Aug 1980,Arrows Ford,8,0
Austria,17 Aug 1980,Arrows Ford,DNS,0
Netherlands,31 Aug 1980,Arrows Ford,DNS,0
Canada,28 Sep 1980,Arrows Ford,11,0
USA East,05 Oct 1980,Arrows Ford,DNF,0
