GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,13 Jan 1980,Williams Ford,DNF,0
Brazil,27 Jan 1980,Williams Ford,DNF,0
South Africa,01 Mar 1980,Williams Ford,5,2
USA West,30 Mar 1980,Williams Ford,DNF,0
Belgium,04 May 1980,Williams Ford,3,4
Monaco,18 May 1980,Williams Ford,1,9
France,29 Jun 1980,Williams Ford,6,1
Great Britain,13 Jul 1980,Williams Ford,3,4
Germany,10 Aug 1980,Williams Ford,2,6
Austria,17 Aug 1980,Williams Ford,3,4
Netherlands,31 Aug 1980,Williams Ford,4,3
Italy,14 Sep 1980,Williams Ford,3,4
Canada,28 Sep 1980,Williams Ford,2,6
USA East,05 Oct 1980,Williams Ford,2,6
