GRAND PRIX,DATE,PTS
USA West,27 Mar 1983,0
France,17 Apr 1983,0
San Marino,01 May 1983,0
Monaco,15 May 1983,0
Belgium,22 May 1983,0
Detroit,05 Jun 1983,0
Canada,12 Jun 1983,0
Great Britain,16 Jul 1983,3
Germany,07 Aug 1983,0
Austria,14 Aug 1983,2
Netherlands,28 Aug 1983,0
Italy,11 Sep 1983,2
Europe,25 Sep 1983,4
South Africa,15 Oct 1983,0
