Grand Prix,Date,Winner,Car,Laps,Time
South Africa,01 Jan 1968,Jim Clark,Lotus Ford,80,1:53:56.600
Spain,12 May 1968,Graham Hill,Lotus Ford,90,2:15:20.100
Monaco,26 May 1968,Graham Hill,Lotus Ford,80,2:00:32.300
Belgium,09 Jun 1968,Bruce McLaren,McLaren Ford,28,1:40:02.100
Netherlands,23 Jun 1968,Jackie Stewart,Matra Ford,90,2:46:11.260
France,07 Jul 1968,Jacky Ickx,Ferrari,60,2:25:40.900
Great Britain,20 Jul 1968,Jo Siffert,Lotus Ford,80,2:01:20.300
Germany,04 Aug 1968,Jackie Stewart,Matra Ford,14,2:19:03.200
Italy,08 Sep 1968,Denny Hulme,McLaren Ford,68,1:40:14.800
Canada,22 Sep 1968,Denny Hulme,McLaren Ford,90,2:27:11.200
United States,06 Oct 1968,Jackie Stewart,Matra Ford,108,1:59:20.290
Mexico,03 Nov 1968,Graham Hill,Lotus Ford,65,1:56:43.950
