GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,15 Mar 2015,Williams Mercedes,4,12
Malaysia,29 Mar 2015,Williams Mercedes,6,8
China,12 Apr 2015,Williams Mercedes,5,10
Bahrain,19 Apr 2015,Williams Mercedes,10,1
Spain,10 May 2015,Williams Mercedes,6,8
Monaco,24 May 2015,Williams Mercedes,15,0
Canada,07 Jun 2015,Williams Mercedes,6,8
Austria,21 Jun 2015,Williams Mercedes,3,15
Great Britain,05 Jul 2015,Williams Mercedes,4,12
Hungary,26 Jul 2015,Williams Mercedes,12,0
Belgium,23 Aug 2015,Williams Mercedes,6,8
Italy,06 Sep 2015,Williams Mercedes,3,15
Singapore,20 Sep 2015,Williams Mercedes,DNF,0
Japan,27 Sep 2015,Williams Mercedes,17,0
Russia,11 Oct 2015,Williams Mercedes,4,12
United States,25 Oct 2015,Williams Mercedes,DNF,0
Mexico,01 Nov 2015,Williams Mercedes,6,8
Brazil,15 Nov 2015,Williams Mercedes,EXR,0
Abu Dhabi,29 Nov 2015,Williams Mercedes,8,4
