GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,15 Mar 2015,Red Bull Racing Renault,6,8
Malaysia,29 Mar 2015,Red Bull Racing Renault,10,1
China,12 Apr 2015,Red Bull Racing Renault,9,2
Bahrain,19 Apr 2015,Red Bull Racing Renault,6,8
Spain,10 May 2015,Red Bull Racing Renault,7,6
Monaco,24 May 2015,Red Bull Racing Renault,5,10
Canada,07 Jun 2015,Red Bull Racing Renault,13,0
Austria,21 Jun 2015,Red Bull Racing Renault,10,1
Great Britain,05 Jul 2015,Red Bull Racing Renault,DNF,0
Hungary,26 Jul 2015,Red Bull Racing Renault,3,15
Belgium,23 Aug 2015,Red Bull Racing Renault,DNF,0
Italy,06 Sep 2015,Red Bull Racing Renault,8,4
Singapore,20 Sep 2015,Red Bull Racing Renault,2,18
Japan,27 Sep 2015,Red Bull Racing Renault,15,0
Russia,11 Oct 2015,Red Bull Racing Renault,DNF,0
United States,25 Oct 2015,Red Bull Racing Renault,10,1
Mexico,01 Nov 2015,Red Bull Racing Renault,5,10
Brazil,15 Nov 2015,Red Bull Racing Renault,11,0
Abu Dhabi,29 Nov 2015,Red Bull Racing Renault,6,8
