GRAND PRIX,DATE,PTS
Australia,16 Mar 2014,0
Malaysia,30 Mar 2014,15
Bahrain,06 Apr 2014,20
China,20 Apr 2014,22
Spain,11 May 2014,27
Monaco,25 May 2014,15
Canada,08 Jun 2014,40
Austria,22 Jun 2014,4
Great Britain,06 Jul 2014,25
Germany,20 Jul 2014,20
Hungary,27 Jul 2014,31
Belgium,24 Aug 2014,35
Italy,07 Sep 2014,18
Singapore,21 Sep 2014,33
Japan,05 Oct 2014,27
Russia,21 Oct 2014,10
United States,02 Nov 2014,21
Brazil,09 Nov 2014,10
Abu Dhabi,23 Nov 2014,32
