POS,DRIVER,NATIONALITY,CAR,PTS
1,Sebastian Vettel,GER,RBR Renault,256
2,Fernando Alonso,ESP,Ferrari,252
3,Mark Webber,AUS,RBR Renault,242
4,Lewis Hamilton,GBR,McLaren Mercedes,240
5,Jenson Button,GBR,McLaren Mercedes,214
6,Felipe Massa,BRA,Ferrari,144
7,Nico Rosberg,GER,Mercedes,142
8,Robert Kubica,POL,Renault,136
9,Michael Schumacher,GER,Mercedes,72
10,Rubens Barrichello,BRA,Williams Cosworth,47
11,Adrian Sutil,GER,Force India Mercedes,47
12,Kamui Kobayashi,JPN,Sauber Ferrari,32
13,Vitaly Petrov,RUS,Renault,27
14,Nico Hulkenberg,GER,Williams Cosworth,22
15,Vitantonio Liuzzi,ITA,Force India Mercedes,21
16,Sebastien Buemi,SUI,STR Ferrari,8
17,Pedro de la Rosa,ESP,Sauber Ferrari,6
18,Nick Heidfeld,GER,Sauber Ferrari,6
19,Jaime Alguersuari,ESP,STR Ferrari,5
20,Heikki Kovalainen,FIN,Lotus Cosworth,0
21,Jarno Trulli,ITA,Lotus Cosworth,0
22,Karun Chandhok,IND,HRT Cosworth,0
23,Bruno Senna,BRA,HRT Cosworth,0
24,Lucas di Grassi,BRA,Virgin Cosworth,0
25,Timo Glock,GER,Virgin Cosworth,0
26,Sakon Yamamoto,JPN,HRT Cosworth,0
27,Christian Klien,AUT,HRT Cosworth,0
