GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,14 Mar 2010,Sauber Ferrari,DNF,0
Australia,28 Mar 2010,Sauber Ferrari,12,0
Malaysia,04 Apr 2010,Sauber Ferrari,DNS,0
China,18 Apr 2010,Sauber Ferrari,DNF,0
Spain,09 May 2010,Sauber Ferrari,DNF,0
Monaco,16 May 2010,Sauber Ferrari,DNF,0
Turkey,30 May 2010,Sauber Ferrari,11,0
Canada,13 Jun 2010,Sauber Ferrari,DNF,0
Europe,27 Jun 2010,Sauber Ferrari,12,0
Great Britain,11 Jul 2010,Sauber Ferrari,DNF,0
Germany,25 Jul 2010,Sauber Ferrari,14,0
Hungary,01 Aug 2010,Sauber Ferrari,7,6
Belgium,29 Aug 2010,Sauber Ferrari,11,0
Italy,12 Sep 2010,Sauber Ferrari,14,0
