GRAND PRIX,DATE,PTS
Australia,10 Mar 1996,0
Brazil,31 Mar 1996,0
Argentina,07 Apr 1996,3
Europe,28 Apr 1996,3
San Marino,05 May 1996,2
Monaco,19 May 1996,0
Spain,02 Jun 1996,0
Canada,16 Jun 1996,1
France,30 Jun 1996,0
Great Britain,14 Jul 1996,4
Germany,28 Jul 1996,1
Hungary,11 Aug 1996,1
Belgium,25 Aug 1996,0
Italy,08 Sep 1996,5
Portugal,22 Sep 1996,0
Japan,13 Oct 1996,2
