Grand Prix,Date,Winner,Car,Laps,Time
Switzerland,27 May 1951,Juan Manuel Fangio,Alfa Romeo,42,2:07:53.640
Indianapolis 500,30 May 1951,Lee Wallard,Kurtis Kraft Offenhauser,200,3:57:38.050
Belgium,17 Jun 1951,Nino Farina,Alfa Romeo,36,2:45:46.200
France,01 Jul 1951,Juan Manuel Fangio,Alfa Romeo,77,3:22:11.000
France,01 Jul 1951,Luigi Fagioli,Alfa Romeo,null,
Great Britain,14 Jul 1951,Jose Froilan Gonzalez,Ferrari,90,2:42:18.200
Germany,29 Jul 1951,Alberto Ascari,Ferrari,20,3:23:03.300
Italy,16 Sep 1951,Alberto Ascari,Ferrari,80,2:42:39.300
Spain,28 Oct 1951,Juan Manuel Fangio,Alfa Romeo,70,2:46:54.100
