Grand Prix,Date,Winner,Car,Laps,Time
Argentina,13 Jan 1957,Juan Manuel Fangio,Maserati,100,3:00:55.900
Monaco,19 May 1957,Juan Manuel Fangio,Maserati,105,3:10:12.800
Indianapolis 500,30 May 1957,Sam Hanks,Epperly Offenhauser,200,3:41:14.250
France,07 Jul 1957,Juan Manuel Fangio,Maserati,77,3:07:46.400
Great Britain,20 Jul 1957,Stirling Moss,Vanwall,90,3:06:37.800
Great Britain,20 Jul 1957,Tony Brooks,Vanwall,null,
Germany,04 Aug 1957,Juan Manuel Fangio,Maserati,22,3:30:38.300
Pescara,18 Aug 1957,Stirling Moss,Vanwall,18,2:59:22.700
Italy,08 Sep 1957,Stirling Moss,Vanwall,87,2:35:03.900
