GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Switzerland,27 May 1951,Talbot-Lago,9,0
Belgium,17 Jun 1951,Talbot-Lago,4,3
France,01 Jul 1951,Talbot-Lago,DNF,0
Great Britain,14 Jul 1951,Talbot-Lago,10,0
Germany,29 Jul 1951,Talbot-Lago,8,0
Italy,16 Sep 1951,Talbot-Lago,7,0
Spain,28 Oct 1951,Talbot-Lago,7,0
