GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Switzerland,27 May 1951,Alfa Romeo,3,4
Belgium,17 Jun 1951,Alfa Romeo,1,8
France,01 Jul 1951,Alfa Romeo,5,2
Great Britain,14 Jul 1951,Alfa Romeo,DNF,1
Germany,29 Jul 1951,Alfa Romeo,DNF,0
Italy,16 Sep 1951,Alfa Romeo,DNF,3
Italy,16 Sep 1951,Alfa Romeo,3,3
Spain,28 Oct 1951,Alfa Romeo,3,4
