GRAND PRIX,DATE,PTS
Australia,18 Mar 2007,5
Malaysia,08 Apr 2007,5
Bahrain,15 Apr 2007,8
Spain,13 May 2007,5
Monaco,27 May 2007,7
Canada,10 Jun 2007,8
United States,17 Jun 2007,1
France,01 Jul 2007,9
Great Britain,08 Jul 2007,8
Europe,22 Jul 2007,5
Hungary,05 Aug 2007,10
Turkey,26 Aug 2007,6
Italy,09 Sep 2007,9
Belgium,16 Sep 2007,4
Japan,30 Sep 2007,2
China,07 Oct 2007,2
Brazil,21 Oct 2007,7
