GRAND PRIX,DATE,PTS
Australia,17 Mar 2019,44
Bahrain,31 Mar 2019,43
China,14 Apr 2019,43
Azerbaijan,28 Apr 2019,43
Spain,12 May 2019,44
Monaco,26 May 2019,40
Canada,09 Jun 2019,38
France,23 Jun 2019,43
Austria,30 Jun 2019,25
Great Britain,14 Jul 2019,44
Germany,28 Jul 2019,2
Hungary,04 Aug 2019,29
Belgium,01 Sep 2019,33
Italy,08 Sep 2019,34
Singapore,22 Sep 2019,22
Russia,29 Sep 2019,44
Japan,13 Oct 2019,41
Mexico,27 Oct 2019,40
United States,03 Nov 2019,43
Brazil,17 Nov 2019,6
Abu Dhabi,01 Dec 2019,38
