GRAND PRIX,DATE,PTS
Australia,17 Mar 2019,22
Bahrain,31 Mar 2019,26
China,14 Apr 2019,25
Azerbaijan,28 Apr 2019,26
Spain,12 May 2019,22
Monaco,26 May 2019,18
Canada,09 Jun 2019,33
France,23 Jun 2019,26
Austria,30 Jun 2019,30
Great Britain,14 Jul 2019,15
Germany,28 Jul 2019,18
Hungary,04 Aug 2019,27
Belgium,01 Sep 2019,38
Italy,08 Sep 2019,25
Singapore,22 Sep 2019,43
Russia,29 Sep 2019,15
Japan,13 Oct 2019,26
Mexico,27 Oct 2019,31
United States,03 Nov 2019,13
Brazil,17 Nov 2019,0
Abu Dhabi,01 Dec 2019,25
