POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,2,Lewis Hamilton,McLaren Mercedes,70,1:35:52.991,10
2,6,Kimi Räikkönen,Ferrari,70,+0.715s,8
3,9,Nick Heidfeld,Sauber BMW,70,+43.129s,6
4,1,Fernando Alonso,McLaren Mercedes,70,+44.858s,5
5,10,Robert Kubica,Sauber BMW,70,+47.616s,4
6,11,Ralf Schumacher,Toyota,70,+50.669s,3
7,16,Nico Rosberg,Williams Toyota,70,+59.139s,2
8,4,Heikki Kovalainen,Renault,70,+68.104s,1
9,15,Mark Webber,Red Bull Renault,70,+76.331s,0
10,12,Jarno Trulli,Toyota,69,+1 lap,0
11,14,David Coulthard,Red Bull Renault,69,+1 lap,0
12,3,Giancarlo Fisichella,Renault,69,+1 lap,0
13,5,Felipe Massa,Ferrari,69,+1 lap,0
14,17,Alexander Wurz,Williams Toyota,69,+1 lap,0
15,22,Takuma Sato,Super Aguri Honda,69,+1 lap,0
16,19,Sebastian Vettel,STR Ferrari,69,+1 lap,0
17,20,Adrian Sutil,Spyker Ferrari,68,+2 laps,0
18,8,Rubens Barrichello,Honda,68,+2 laps,0
NC,18,Vitantonio Liuzzi,STR Ferrari,42,DNF,0
NC,23,Anthony Davidson,Super Aguri Honda,41,DNF,0
NC,7,Jenson Button,Honda,35,DNF,0
NC,21,Sakon Yamamoto,Spyker Ferrari,4,DNF,0
