POS,DRIVER,NATIONALITY,CAR,PTS
1,Jack Brabham,AUS,Brabham Repco,42
2,John Surtees,GBR,Cooper Maserati,28
3,Jochen Rindt,AUT,Cooper Maserati,22
4,Denny Hulme,NZL,Brabham Repco,18
5,Graham Hill,GBR,BRM,17
6,Jim Clark,GBR,Lotus BRM,16
7,Jackie Stewart,GBR,BRM,14
8,Mike Parkes,GBR,Ferrari,12
8,Lorenzo Bandini,ITA,Ferrari,12
10,Ludovico Scarfiotti,ITA,Ferrari,9
11,Richie Ginther,USA,Honda,5
12,Dan Gurney,USA,Eagle Climax,4
12,Mike Spence,GBR,Lotus BRM,4
14,Bob Bondurant,USA,Eagle Weslake,3
14,Jo Siffert,SUI,Cooper Maserati,3
14,Bruce McLaren,NZL,McLaren Ford,3
17,John Taylor,GBR,Brabham BRM,1
17,Bob Anderson,GBR,Brabham Climax,1
17,Peter Arundell,GBR,Lotus BRM,1
17,Jo Bonnier,SWE,Cooper Maserati,1
