GRAND PRIX,DRIVER,CAR,TIME
Argentina,Jacques Laffite,Ligier Ford,1:46.910
Brazil,Jacques Laffite,Ligier Ford,2:28.760
South Africa,Gilles Villeneuve,Ferrari,1:14.412
USA West,Gilles Villeneuve,Ferrari,1:21.200
Spain,Gilles Villeneuve,Ferrari,1:16.440
Belgium,Gilles Villeneuve,Ferrari,1:23.090
Monaco,Patrick Depailler,Ligier Ford,1:28.820
France,Rene Arnoux,Renault,1:09.160
Great Britain,Clay Regazzoni,Williams Ford,1:14.400
Germany,Gilles Villeneuve,Ferrari,1:51.890
Austria,Rene Arnoux,Renault,1:35.770
Netherlands,Gilles Villeneuve,Ferrari,1:19.438
Italy,Clay Regazzoni,Williams Ford,1:35.600
Canada,Alan Jones,Williams Ford,1:31.272
USA East,Nelson Piquet,Brabham Ford,1:40.054
