POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,2,Stirling Moss,Vanwall,50,2:11:27.800,8
2,22,Mike Hawthorn,Ferrari,50,+312.750s,7
3,6,Stuart Lewis-Evans,Vanwall,49,+1 lap,4
4,8,Jean Behra,BRM,49,+1 lap,3
5,24,Wolfgang von Trips,Ferrari,49,+1 lap,2
6,10,Harry Schell,BRM,49,+1 lap,0
7,14,Jack Brabham,Cooper Climax,48,+2 laps,0
8,12,Maurice Trintignant,Cooper Climax,48,+2 laps,0
NC,28,Carroll Shelby,Maserati,47,DNF,0
9,16,Roy Salvadori,Cooper Climax,46,+4 laps,0
NC,4,Tony Brooks,Vanwall,36,DNF,0
NC,20,Graham Hill,Lotus Climax,25,DNF,0
NC,18,Cliff Allison,Maserati,15,DNF,0
NC,32,Jo Bonnier,Maserati,9,DNF,0
NC,30,Maria Teresa de Filippis,Maserati,6,DNF,0
