GRAND PRIX,DRIVER,CAR,TIME
Argentina,Alberto Ascari,Ferrari,1:48.400
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.240
Netherlands,Luigi Villoresi,Ferrari,1:52.800
Belgium,Jose Froilan Gonzalez,Maserati,4:34.000
France,Juan Manuel Fangio,Maserati,2:41.100
Great Britain,Alberto Ascari,Ferrari,1:50.000
Germany,Alberto Ascari,Ferrari,9:56.000
Switzerland,Alberto Ascari,Ferrari,2:41.300
Italy,Juan Manuel Fangio,Maserati,2:04.500
