GRAND PRIX,DATE,PTS
Brazil,12 Apr 1987,0
San Marino,03 May 1987,7
Belgium,17 May 1987,2
Monaco,31 May 1987,9
Detroit,21 Jun 1987,9
France,05 Jul 1987,3
Great Britain,12 Jul 1987,7
Germany,26 Jul 1987,4
Hungary,09 Aug 1987,6
Austria,16 Aug 1987,2
Italy,06 Sep 1987,6
Portugal,20 Sep 1987,0
Spain,27 Sep 1987,2
Mexico,18 Oct 1987,0
Japan,01 Nov 1987,7
Australia,15 Nov 1987,0
