GRAND PRIX,DATE,PTS
USA West,15 Mar 1981,0
Argentina,12 Apr 1981,0
San Marino,03 May 1981,0
Great Britain,18 Jul 1981,1
Germany,02 Aug 1981,0
Austria,16 Aug 1981,0
Netherlands,30 Aug 1981,0
Italy,13 Sep 1981,0
Canada,27 Sep 1981,0
