GRAND PRIX,DATE,PTS
Monaco,26 May 1968,0
Belgium,09 Jun 1968,0
Netherlands,23 Jun 1968,6
France,07 Jul 1968,0
Great Britain,20 Jul 1968,0
Germany,04 Aug 1968,0
Italy,08 Sep 1968,2
Canada,22 Sep 1968,0
United States,06 Oct 1968,0
Mexico,03 Nov 1968,0
