GRAND PRIX,DATE,PTS
Belgium,17 Jun 1962,0
France,08 Jul 1962,0
Great Britain,21 Jul 1962,0
Germany,05 Aug 1962,0
Italy,16 Sep 1962,0
United States,07 Oct 1962,1
