GRAND PRIX,DATE,PTS
Australia,25 Mar 2018,40
Bahrain,08 Apr 2018,25
China,15 Apr 2018,19
Azerbaijan,29 Apr 2018,30
Spain,13 May 2018,12
Monaco,27 May 2018,30
Canada,10 Jun 2018,33
France,24 Jun 2018,25
Austria,01 Jul 2018,33
Great Britain,08 Jul 2018,40
Germany,22 Jul 2018,15
Hungary,29 Jul 2018,33
Belgium,26 Aug 2018,25
Italy,02 Sep 2018,30
Singapore,16 Sep 2018,25
Russia,30 Sep 2018,27
Japan,07 Oct 2018,18
United States,21 Oct 2018,37
Mexico,28 Oct 2018,33
Brazil,11 Nov 2018,23
Abu Dhabi,25 Nov 2018,18
