GRAND PRIX,DATE,PTS
Australia,25 Mar 2018,7
Bahrain,08 Apr 2018,8
China,15 Apr 2018,10
Azerbaijan,29 Apr 2018,10
Spain,13 May 2018,6
Monaco,27 May 2018,5
Canada,10 Jun 2018,10
France,24 Jun 2018,6
Austria,01 Jul 2018,0
Great Britain,08 Jul 2018,8
Germany,22 Jul 2018,10
Hungary,29 Jul 2018,2
Belgium,26 Aug 2018,0
Italy,02 Sep 2018,4
Singapore,16 Sep 2018,5
Russia,30 Sep 2018,0
Japan,07 Oct 2018,1
United States,21 Oct 2018,14
Mexico,28 Oct 2018,8
Brazil,11 Nov 2018,0
Abu Dhabi,25 Nov 2018,8
