GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,10 Apr 2022,Aston Martin Aramco Mercedes,DNF,0
Emilia Romagna,24 Apr 2022,Aston Martin Aramco Mercedes,8,4
Miami,08 May 2022,Aston Martin Aramco Mercedes,DNF,0
Spain,22 May 2022,Aston Martin Aramco Mercedes,11,0
Monaco,29 May 2022,Aston Martin Aramco Mercedes,10,1
Azerbaijan,12 Jun 2022,Aston Martin Aramco Mercedes,6,8
Canada,19 Jun 2022,Aston Martin Aramco Mercedes,12,0
Great Britain,03 Jul 2022,Aston Martin Aramco Mercedes,9,2
Austria,10 Jul 2022,Aston Martin Aramco Mercedes,17,0
France,24 Jul 2022,Aston Martin Aramco Mercedes,11,0
Hungary,31 Jul 2022,Aston Martin Aramco Mercedes,10,1
Belgium,28 Aug 2022,Aston Martin Aramco Mercedes,8,4
Netherlands,04 Sep 2022,Aston Martin Aramco Mercedes,14,0
Italy,11 Sep 2022,Aston Martin Aramco Mercedes,DNF,0
Singapore,02 Oct 2022,Aston Martin Aramco Mercedes,8,4
Japan,09 Oct 2022,Aston Martin Aramco Mercedes,6,8
United States,23 Oct 2022,Aston Martin Aramco Mercedes,8,4
Mexico,30 Oct 2022,Aston Martin Aramco Mercedes,14,0
Brazil,13 Nov 2022,Aston Martin Aramco Mercedes,11,0
Abu Dhabi,20 Nov 2022,Aston Martin Aramco Mercedes,10,1
