GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,20 Mar 2022,Mercedes,4,12
Saudi Arabia,27 Mar 2022,Mercedes,5,10
Australia,10 Apr 2022,Mercedes,3,15
Emilia Romagna,24 Apr 2022,Mercedes,4,12
Miami,08 May 2022,Mercedes,5,10
Spain,22 May 2022,Mercedes,3,15
Monaco,29 May 2022,Mercedes,5,10
Azerbaijan,12 Jun 2022,Mercedes,3,15
Canada,19 Jun 2022,Mercedes,4,12
Great Britain,03 Jul 2022,Mercedes,DNF,0
Austria,10 Jul 2022,Mercedes,4,17
France,24 Jul 2022,Mercedes,3,15
Hungary,31 Jul 2022,Mercedes,3,15
Belgium,28 Aug 2022,Mercedes,4,12
Netherlands,04 Sep 2022,Mercedes,2,18
Italy,11 Sep 2022,Mercedes,3,15
Singapore,02 Oct 2022,Mercedes,14,0
Japan,09 Oct 2022,Mercedes,8,4
United States,23 Oct 2022,Mercedes,5,11
Mexico,30 Oct 2022,Mercedes,4,13
Brazil,13 Nov 2022,Mercedes,1,34
Abu Dhabi,20 Nov 2022,Mercedes,5,10
