GRAND PRIX,DRIVER,CAR,TIME
Brazil,Alain Prost,McLaren TAG,1:36.702
Portugal,Ayrton Senna,Lotus Renault,1:44.121
San Marino,Michele Alboreto,Ferrari,1:30.961
Monaco,Michele Alboreto,Ferrari,1:22.637
Canada,Ayrton Senna,Lotus Renault,1:27.445
Detroit,Ayrton Senna,Lotus Renault,1:45.612
France,Keke Rosberg,Williams Honda,1:39.914
Great Britain,Alain Prost,McLaren TAG,1:09.886
Germany,Niki Lauda,McLaren TAG,1:22.806
Austria,Alain Prost,McLaren TAG,1:29.241
Netherlands,Alain Prost,McLaren TAG,1:16.538
Italy,Nigel Mansell,Williams Honda,1:28.283
Belgium,Alain Prost,McLaren TAG,2:01.730
Europe,Jacques Laffite,Ligier Renault,1:11.526
South Africa,Keke Rosberg,Williams Honda,1:08.149
Australia,Keke Rosberg,Williams Honda,1:23.758
