GRAND PRIX,DRIVER,CAR,TIME
South Africa,Jim Clark,Lotus Ford,1:23.700
Spain,Jean-Pierre Beltoise,Matra Ford,1:28.300
Monaco,Richard Attwood,BRM,1:28.100
Belgium,John Surtees,Honda,3:30.500
Netherlands,Jean-Pierre Beltoise,Matra Ford,1:45.910
France,Pedro Rodriguez,BRM,2:11.500
Great Britain,Jo Siffert,Lotus Ford,1:29.700
Germany,Jackie Stewart,Matra Ford,9:36.000
Italy,Jackie Oliver,Lotus Ford,1:26.500
Canada,Jo Siffert,Lotus Ford,1:35.100
United States,Jackie Stewart,Matra Ford,1:05.220
Mexico,Jo Siffert,Lotus Ford,1:44.230
