POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,1,Michael Schumacher,Benetton Renault,44,1:36:47.875,10
2,5,Damon Hill,Williams Renault,44,+19.493s,6
3,25,Martin Brundle,Ligier Mugen Honda,44,+24.998s,4
4,30,Heinz-Harald Frentzen,Sauber Ford,44,+26.972s,3
5,7,Mark Blundell,McLaren Mercedes,44,+33.772s,2
6,14,Rubens Barrichello,Jordan Peugeot,44,+39.674s,1
7,2,Johnny Herbert,Benetton Renault,44,+54.048s,0
8,4,Mika Salo,Tyrrell Yamaha,44,+54.548s,0
9,26,Olivier Panis,Ligier Mugen Honda,44,+66.170s,0
10,23,Pedro Lamy,Minardi Ford,44,+79.789s,0
11,29,Jean-Christophe Boullion,Sauber Ford,43,+1 lap,0
12,10,Taki Inoue,Footwork Hart,43,+1 lap,0
13,21,Pedro Diniz,Forti Ford,42,+2 laps,0
14,22,Roberto Moreno,Forti Ford,42,+2 laps,0
NC,3,Ukyo Katayama,Tyrrell Yamaha,28,DNF,0
NC,16,Giovanni Lavaggi,Pacific Ilmor,27,DNF,0
NC,24,Luca Badoer,Minardi Ford,23,DNF,0
NC,28,Gerhard Berger,Ferrari,22,DNF,0
NC,15,Eddie Irvine,Jordan Peugeot,21,DNF,0
NC,9,Massimiliano Papis,Footwork Hart,20,DNF,0
NC,17,Andrea Montermini,Pacific Ilmor,18,DNF,0
NC,6,David Coulthard,Williams Renault,13,DNF,0
NC,27,Jean Alesi,Ferrari,4,DNF,0
NC,8,Mika Hakkinen,McLaren Mercedes,1,DNF,0
