POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,5,Jim Clark,Lotus Ford,108,2:03:13.200,9
2,6,Graham Hill,Lotus Ford,108,+6.300s,6
3,2,Denny Hulme,Brabham Repco,107,+1 lap,4
4,15,Jo Siffert,Cooper Maserati,106,+2 laps,3
5,1,Jack Brabham,Brabham Repco,104,+4 laps,2
6,16,Jo Bonnier,Cooper Maserati,101,+7 laps,1
7,22,Jean-Pierre Beltoise,Matra Ford,101,+7 laps,0
NC,3,John Surtees,Honda,96,DNF,0
NC,9,Chris Amon,Ferrari,95,DNF,0
NC,7,Jackie Stewart,BRM,72,DNF,0
NC,21,Jacky Ickx,Cooper Maserati,45,DNF,0
NC,19,Guy Ligier,Brabham Repco,43,DNF,0
NC,17,Chris Irwin,BRM,41,DNF,0
NC,8,Mike Spence,BRM,35,DNF,0
NC,4,Jochen Rindt,Cooper Maserati,33,DNF,0
NC,11,Dan Gurney,Eagle Weslake,24,DNF,0
NC,14,Bruce McLaren,McLaren BRM,16,DNF,0
NC,18,Moises Solana,Lotus Ford,7,DNF,0
