POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,3,Jack Brabham,Brabham Repco,80,2:13:21.300,9
2,4,Denny Hulme,Brabham Repco,80,+49.500s,6
3,10,Jackie Stewart,BRM,79,+1 lap,4
4,18,Jo Siffert,Cooper Maserati,77,+3 laps,3
5,15,Chris Irwin,BRM,76,DNF,2
6,14,Pedro Rodriguez,Cooper Maserati,76,+4 laps,1
NC,16,Guy Ligier,Cooper Maserati,68,+12 laps,0
NC,2,Chris Amon,Ferrari,47,DNF,0
NC,9,Dan Gurney,Eagle Weslake,40,DNF,0
NC,12,Jochen Rindt,Cooper Maserati,33,DNF,0
NC,8,Bruce McLaren,Eagle Weslake,26,DNF,0
NC,6,Jim Clark,Lotus Ford,23,DNF,0
NC,17,Bob Anderson,Brabham Climax,16,DNF,0
NC,7,Graham Hill,Lotus Ford,13,DNF,0
NC,11,Mike Spence,BRM,9,DNF,0
