GRAND PRIX,DRIVER,CAR,TIME
Brazil,Nelson Piquet,Williams Honda,1:33.861
San Marino,Teo Fabi,Benetton Ford,1:29.246
Belgium,Alain Prost,McLaren TAG,1:57.153
Monaco,Ayrton Senna,Lotus Honda,1:27.685
Detroit,Ayrton Senna,Lotus Honda,1:40.464
France,Nelson Piquet,Williams Honda,1:09.548
Great Britain,Nigel Mansell,Williams Honda,1:09.832
Germany,Nigel Mansell,Williams Honda,1:45.716
Hungary,Nelson Piquet,Williams Honda,1:30.149
Austria,Nigel Mansell,Williams Honda,1:28.318
Italy,Ayrton Senna,Lotus Honda,1:26.796
Portugal,Gerhard Berger,Ferrari,1:19.282
Spain,Gerhard Berger,Ferrari,1:26.986
Mexico,Nelson Piquet,Williams Honda,1:19.132
Japan,Alain Prost,McLaren TAG,1:43.844
Australia,Gerhard Berger,Ferrari,1:20.416
