POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,57,1:35:05.809,25
2,7,Kimi Räikkönen,Ferrari,57,+3.380s,18
3,6,Nico Rosberg,Mercedes,57,+6.033s,15
4,77,Valtteri Bottas,Williams Mercedes,57,+42.957s,12
5,5,Sebastian Vettel,Ferrari,57,+43.989s,10
6,3,Daniel Ricciardo,Red Bull Racing Renault,57,+61.751s,8
7,8,Romain Grosjean,Lotus Mercedes,57,+84.763s,6
8,11,Sergio Perez,Force India Mercedes,56,+1 lap,4
9,26,Daniil Kvyat,Red Bull Racing Renault,56,+1 lap,2
10,19,Felipe Massa,Williams Mercedes,56,+1 lap,1
11,14,Fernando Alonso,McLaren Honda,56,+1 lap,0
12,12,Felipe Nasr,Sauber Ferrari,56,+1 lap,0
13,27,Nico Hulkenberg,Force India Mercedes,56,+1 lap,0
14,9,Marcus Ericsson,Sauber Ferrari,56,+1 lap,0
15,13,Pastor Maldonado,Lotus Mercedes,56,+1 lap,0
16,28,Will Stevens,Marussia Ferrari,55,+2 laps,0
17,98,Roberto Merhi,Marussia Ferrari,54,+3 laps,0
NC,33,Max Verstappen,STR Renault,34,DNF,0
NC,55,Carlos Sainz,STR Renault,29,DNF,0
NC,22,Jenson Button,McLaren Honda,0,DNS,0
