POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,44,Lewis Hamilton,Mercedes,56,1:50:52.703,25
2,6,Nico Rosberg,Mercedes,56,+2.850s,18
3,5,Sebastian Vettel,Ferrari,56,+3.381s,15
4,33,Max Verstappen,STR Renault,56,+22.359s,12
5,11,Sergio Perez,Force India Mercedes,56,+24.413s,10
6,22,Jenson Button,McLaren Honda,56,+28.058s,8
7,55,Carlos Sainz,STR Renault,56,+30.619s,6
8,13,Pastor Maldonado,Lotus Mercedes,56,+32.273s,4
9,12,Felipe Nasr,Sauber Ferrari,56,+40.257s,2
10,3,Daniel Ricciardo,Red Bull Racing Renault,56,+53.371s,1
11,14,Fernando Alonso,McLaren Honda,56,+54.816s,0
12,53,Alexander Rossi,Marussia Ferrari,56,+75.277s,0
NC,26,Daniil Kvyat,Red Bull Racing Renault,41,DNF,0
NC,27,Nico Hulkenberg,Force India Mercedes,35,DNF,0
NC,9,Marcus Ericsson,Sauber Ferrari,25,DNF,0
NC,7,Kimi Räikkönen,Ferrari,25,DNF,0
NC,19,Felipe Massa,Williams Mercedes,23,DNF,0
NC,8,Romain Grosjean,Lotus Mercedes,10,DNF,0
NC,77,Valtteri Bottas,Williams Mercedes,5,DNF,0
NC,28,Will Stevens,Marussia Ferrari,1,DNF,0
