GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,25 Jan 1976,McLaren Ford,DNF,0
South Africa,06 Mar 1976,McLaren Ford,2,6
USA West,28 Mar 1976,McLaren Ford,DNF,0
Spain,02 May 1976,McLaren Ford,1,9
Belgium,16 May 1976,McLaren Ford,DNF,0
Monaco,30 May 1976,McLaren Ford,DNF,0
Sweden,13 Jun 1976,McLaren Ford,5,2
France,04 Jul 1976,McLaren Ford,1,9
Great Britain,18 Jul 1976,McLaren Ford,DSQ,0
Germany,01 Aug 1976,McLaren Ford,1,9
Austria,15 Aug 1976,McLaren Ford,4,3
Netherlands,29 Aug 1976,McLaren Ford,1,9
Italy,12 Sep 1976,McLaren Ford,DNF,0
Canada,03 Oct 1976,McLaren Ford,1,9
USA East,10 Oct 1976,McLaren Ford,1,9
Japan,24 Oct 1976,McLaren Ford,3,4
