GRAND PRIX,DATE,PTS
Argentina,12 Jan 1975,4
Brazil,26 Jan 1975,9
South Africa,01 Mar 1975,6
Spain,27 Apr 1975,2
Monaco,11 May 1975,4
Belgium,25 May 1975,4
Sweden,08 Jun 1975,6
Netherlands,22 Jun 1975,3
France,06 Jul 1975,0
Great Britain,19 Jul 1975,6
Germany,03 Aug 1975,9
Austria,17 Aug 1975,0
Italy,07 Sep 1975,3
United States,05 Oct 1975,0
