GRAND PRIX,DATE,PTS
Argentina,12 Jan 1975,0
Brazil,26 Jan 1975,0
South Africa,01 Mar 1975,0
Spain,27 Apr 1975,0
Belgium,25 May 1975,0
Sweden,08 Jun 1975,0
Netherlands,22 Jun 1975,0
France,06 Jul 1975,0
Great Britain,19 Jul 1975,0
Germany,03 Aug 1975,6
Austria,17 Aug 1975,0
Italy,07 Sep 1975,0
