GRAND PRIX,DRIVER,CAR,TIME
Australia,Kimi Räikkönen,McLaren Mercedes,1:28.541
Malaysia,Juan Pablo Montoya,Williams BMW,1:38.049
Brazil,Juan Pablo Montoya,Williams BMW,1:16.079
San Marino,Rubens Barrichello,Ferrari,1:24.170
Spain,Michael Schumacher,Ferrari,1:20.355
Austria,Michael Schumacher,Ferrari,1:09.298
Monaco,Rubens Barrichello,Ferrari,1:18.023
Canada,Juan Pablo Montoya,Williams BMW,1:15.960
Europe,Michael Schumacher,Ferrari,1:32.226
Great Britain,Rubens Barrichello,Ferrari,1:23.083
France,David Coulthard,McLaren Mercedes,1:15.045
Germany,Michael Schumacher,Ferrari,1:16.462
Hungary,Michael Schumacher,Ferrari,1:16.207
Belgium,Michael Schumacher,Ferrari,1:47.176
Italy,Rubens Barrichello,Ferrari,1:23.657
United States,Rubens Barrichello,Ferrari,1:12.738
Japan,Michael Schumacher,Ferrari,1:36.125
