GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,18 Mar 2012,Lotus Renault,7,6
Malaysia,25 Mar 2012,Lotus Renault,5,10
China,15 Apr 2012,Lotus Renault,14,0
Bahrain,22 Apr 2012,Lotus Renault,2,18
Spain,13 May 2012,Lotus Renault,3,15
Monaco,27 May 2012,Lotus Renault,9,2
Canada,10 Jun 2012,Lotus Renault,8,4
Europe,24 Jun 2012,Lotus Renault,2,18
Great Britain,08 Jul 2012,Lotus Renault,5,10
Germany,22 Jul 2012,Lotus Renault,3,15
Hungary,29 Jul 2012,Lotus Renault,2,18
Belgium,02 Sep 2012,Lotus Renault,3,15
Italy,09 Sep 2012,Lotus Renault,5,10
Singapore,23 Sep 2012,Lotus Renault,6,8
Japan,07 Oct 2012,Lotus Renault,6,8
South Korea,14 Oct 2012,Lotus Renault,5,10
India,28 Oct 2012,Lotus Renault,7,6
Abu Dhabi,04 Nov 2012,Lotus Renault,1,25
United States,18 Nov 2012,Lotus Renault,6,8
Brazil,25 Nov 2012,Lotus Renault,10,1
