GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,18 Mar 2012,Force India Mercedes,DNF,0
Malaysia,25 Mar 2012,Force India Mercedes,9,2
China,15 Apr 2012,Force India Mercedes,15,0
Bahrain,22 Apr 2012,Force India Mercedes,12,0
Spain,13 May 2012,Force India Mercedes,10,1
Monaco,27 May 2012,Force India Mercedes,8,4
Canada,10 Jun 2012,Force India Mercedes,12,0
Europe,24 Jun 2012,Force India Mercedes,5,10
Great Britain,08 Jul 2012,Force India Mercedes,12,0
Germany,22 Jul 2012,Force India Mercedes,9,2
Hungary,29 Jul 2012,Force India Mercedes,11,0
Belgium,02 Sep 2012,Force India Mercedes,4,12
Italy,09 Sep 2012,Force India Mercedes,DNF,0
Singapore,23 Sep 2012,Force India Mercedes,14,0
Japan,07 Oct 2012,Force India Mercedes,7,6
South Korea,14 Oct 2012,Force India Mercedes,6,8
India,28 Oct 2012,Force India Mercedes,8,4
Abu Dhabi,04 Nov 2012,Force India Mercedes,DNF,0
United States,18 Nov 2012,Force India Mercedes,8,4
Brazil,25 Nov 2012,Force India Mercedes,5,10
