GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,18 Mar 2012,Williams Renault,DNF,0
Malaysia,25 Mar 2012,Williams Renault,DNF,0
China,15 Apr 2012,Williams Renault,8,4
Bahrain,22 Apr 2012,Williams Renault,DNF,0
Spain,13 May 2012,Williams Renault,1,25
Monaco,27 May 2012,Williams Renault,DNF,0
Canada,10 Jun 2012,Williams Renault,13,0
Europe,24 Jun 2012,Williams Renault,12,0
Great Britain,08 Jul 2012,Williams Renault,16,0
Germany,22 Jul 2012,Williams Renault,15,0
Hungary,29 Jul 2012,Williams Renault,13,0
Belgium,02 Sep 2012,Williams Renault,DNF,0
Italy,09 Sep 2012,Williams Renault,11,0
Singapore,23 Sep 2012,Williams Renault,DNF,0
Japan,07 Oct 2012,Williams Renault,8,4
South Korea,14 Oct 2012,Williams Renault,14,0
India,28 Oct 2012,Williams Renault,16,0
Abu Dhabi,04 Nov 2012,Williams Renault,5,10
United States,18 Nov 2012,Williams Renault,9,2
Brazil,25 Nov 2012,Williams Renault,DNF,0
