GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Australia,18 Mar 2007,Sauber BMW,4,5
Malaysia,08 Apr 2007,Sauber BMW,4,5
Bahrain,15 Apr 2007,Sauber BMW,4,5
Spain,13 May 2007,Sauber BMW,DNF,0
Monaco,27 May 2007,Sauber BMW,6,3
Canada,10 Jun 2007,Sauber BMW,2,8
United States,17 Jun 2007,Sauber BMW,DNF,0
France,01 Jul 2007,Sauber BMW,5,4
Great Britain,08 Jul 2007,Sauber BMW,6,3
Europe,22 Jul 2007,Sauber BMW,6,3
Hungary,05 Aug 2007,Sauber BMW,3,6
Turkey,26 Aug 2007,Sauber BMW,4,5
Italy,09 Sep 2007,Sauber BMW,4,5
Belgium,16 Sep 2007,Sauber BMW,5,4
Japan,30 Sep 2007,Sauber BMW,DNF,0
China,07 Oct 2007,Sauber BMW,7,2
Brazil,21 Oct 2007,Sauber BMW,6,3
