GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,07 Apr 1985,Brabham BMW,DNF,0
Portugal,21 Apr 1985,Brabham BMW,DNF,0
San Marino,05 May 1985,Brabham BMW,DNF,0
Monaco,19 May 1985,Brabham BMW,DNF,0
Canada,16 Jun 1985,Brabham BMW,DNS,0
Detroit,23 Jun 1985,Brabham BMW,6,1
France,07 Jul 1985,Brabham BMW,1,9
Great Britain,21 Jul 1985,Brabham BMW,4,3
Germany,04 Aug 1985,Brabham BMW,DNF,0
Austria,18 Aug 1985,Brabham BMW,DNF,0
Netherlands,25 Aug 1985,Brabham BMW,8,0
Italy,08 Sep 1985,Brabham BMW,2,6
Belgium,15 Sep 1985,Brabham BMW,5,2
Europe,06 Oct 1985,Brabham BMW,DNF,0
South Africa,19 Oct 1985,Brabham BMW,DNF,0
Australia,03 Nov 1985,Brabham BMW,DNF,0
