GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,15 Jan 1978,McLaren Ford,6,1
Brazil,29 Jan 1978,McLaren Ford,DNF,0
South Africa,04 Mar 1978,McLaren Ford,DNF,0
USA West,02 Apr 1978,McLaren Ford,DNF,0
Monaco,07 May 1978,McLaren Ford,7,0
Spain,04 Jun 1978,McLaren Ford,DNF,0
Sweden,17 Jun 1978,McLaren Ford,4,3
France,02 Jul 1978,McLaren Ford,9,0
Great Britain,16 Jul 1978,McLaren Ford,6,1
Germany,30 Jul 1978,McLaren Ford,DNF,0
Austria,13 Aug 1978,McLaren Ford,DNF,0
Netherlands,27 Aug 1978,McLaren Ford,9,0
Italy,10 Sep 1978,McLaren Ford,5,2
USA East,01 Oct 1978,McLaren Ford,6,1
Canada,08 Oct 1978,McLaren Ford,8,0
