GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Argentina,15 Jan 1978,Surtees Ford,18,0
South Africa,04 Mar 1978,Surtees Ford,12,0
USA West,02 Apr 1978,Surtees Ford,DNF,0
Belgium,21 May 1978,Surtees Ford,DNF,0
Spain,04 Jun 1978,Surtees Ford,7,0
Sweden,17 Jun 1978,Surtees Ford,DNF,0
France,02 Jul 1978,Surtees Ford,17,0
Great Britain,16 Jul 1978,Surtees Ford,9,0
Germany,30 Jul 1978,Surtees Ford,DNF,0
Austria,13 Aug 1978,Surtees Ford,6,1
Netherlands,27 Aug 1978,Surtees Ford,DSQ,0
Italy,10 Sep 1978,Surtees Ford,DNF,0
