POS,NO,DRIVER,CAR,LAPS,TIME/RETIRED,PTS
1,12,Jenson Button,Honda,70,1:52:20.941,10
2,4,Pedro de la Rosa,McLaren Mercedes,70,+30.837s,8
3,16,Nick Heidfeld,Sauber BMW,70,+43.822s,6
4,11,Rubens Barrichello,Honda,70,+45.205s,5
5,14,David Coulthard,RBR Ferrari,69,+1 lap,4
6,7,Ralf Schumacher,Toyota,69,+1 lap,3
7,6,Felipe Massa,Ferrari,69,+1 lap,2
8,5,Michael Schumacher,Ferrari,67,DNF,1
9,18,Tiago Monteiro,MF1 Toyota,67,+3 laps,0
10,19,Christijan Albers,MF1 Toyota,67,+3 laps,0
11,21,Scott Speed,STR Cosworth,66,+4 laps,0
12,8,Jarno Trulli,Toyota,65,DNF,0
13,22,Takuma Sato,Super Aguri Honda,65,+5 laps,0
NC,1,Fernando Alonso,Renault,51,DNF,0
NC,3,Kimi Räikkönen,McLaren Mercedes,25,DNF,0
NC,20,Vitantonio Liuzzi,STR Cosworth,25,DNF,0
NC,10,Nico Rosberg,Williams Cosworth,19,DNF,0
NC,2,Giancarlo Fisichella,Renault,18,DNF,0
NC,15,Christian Klien,RBR Ferrari,6,DNF,0
NC,9,Mark Webber,Williams Cosworth,1,DNF,0
NC,23,Sakon Yamamoto,Super Aguri Honda,0,DNF,0
