GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Brazil,26 Mar 1995,Sauber Ford,DNF,0
Argentina,09 Apr 1995,Sauber Ford,5,2
San Marino,30 Apr 1995,Sauber Ford,6,1
Spain,14 May 1995,Sauber Ford,8,0
Monaco,28 May 1995,Sauber Ford,6,1
Canada,11 Jun 1995,Sauber Ford,DNF,0
France,02 Jul 1995,Sauber Ford,10,0
Great Britain,16 Jul 1995,Sauber Ford,6,1
Germany,30 Jul 1995,Sauber Ford,DNF,0
Hungary,13 Aug 1995,Sauber Ford,5,2
Belgium,27 Aug 1995,Sauber Ford,4,3
Italy,10 Sep 1995,Sauber Ford,3,4
Portugal,24 Sep 1995,Sauber Ford,6,1
Europe,01 Oct 1995,Sauber Ford,DNF,0
Pacific,22 Oct 1995,Sauber Ford,7,0
Japan,29 Oct 1995,Sauber Ford,8,0
Australia,12 Nov 1995,Sauber Ford,DNF,0
