GRAND PRIX,DRIVER,CAR,TIME
Bahrain,Fernando Alonso,Ferrari,1:58.287
Australia,Mark Webber,RBR Renault,1:28.358
Malaysia,Mark Webber,RBR Renault,1:37.054
China,Lewis Hamilton,McLaren Mercedes,1:42.061
Spain,Lewis Hamilton,McLaren Mercedes,1:24.357
Monaco,Sebastian Vettel,RBR Renault,1:15.192
Turkey,Vitaly Petrov,Renault,1:29.165
Canada,Robert Kubica,Renault,1:16.972
Europe,Jenson Button,McLaren Mercedes,1:38.766
Great Britain,Fernando Alonso,Ferrari,1:30.874
Germany,Sebastian Vettel,RBR Renault,1:15.824
Hungary,Sebastian Vettel,RBR Renault,1:22.362
Belgium,Lewis Hamilton,McLaren Mercedes,1:49.069
Italy,Fernando Alonso,Ferrari,1:24.139
Singapore,Fernando Alonso,Ferrari,1:47.976
Japan,Mark Webber,RBR Renault,1:33.474
South Korea,Fernando Alonso,Ferrari,1:50.257
Brazil,Lewis Hamilton,McLaren Mercedes,1:13.851
Abu Dhabi,Lewis Hamilton,McLaren Mercedes,1:41.274
